time,x,y,z,qw,qx,qy,qz
3657,0.215978,0.492776,-0.0610496,-0.150538,0.192171,-0.0990331,-0.964667
3657,0.209672,0.477353,-0.0771836,-0.0613572,0.0706152,-0.146076,-0.984831
5500,0.109715,0.471642,-0.121968,0.247101,0.786504,0.250357,0.507598
5501,0.107114,0.482865,-0.148021,0.343522,0.747712,0.235087,0.517333
5501,0.132561,0.456953,-0.139176,0.210441,0.670701,0.299217,0.645232
5501,0.212457,0.465773,-0.080519,-0.014075,0.0148116,0.032862,0.999241
5501,0.229162,0.462563,-0.0626899,0.0716445,0.0927079,-0.097286,-0.988326
5501,0.146058,0.451023,-0.0819268,-0.183306,0.0839972,0.136242,0.969929
5501,0.224261,0.46564,-0.0665278,0.0756189,0.0843791,-0.0932655,-0.989163
5501,0.230112,0.465919,-0.0727241,0.0482786,0.0523031,-0.0243375,-0.997157
5501,0.227246,0.464785,-0.0688403,0.0714118,0.0510671,-0.0481457,-0.994965
5501,0.23481,0.462198,-0.0602646,0.0564324,0.0759508,-0.0868104,-0.991711
5501,0.181055,0.485187,-0.130002,0.136446,0.433638,0.0687048,0.888032
5501,0.226251,0.466733,-0.0730525,-0.0410635,0.0221777,-0.0320982,0.998385
5501,0.225069,0.463205,-0.0658875,0.0668658,0.0848528,-0.10591,-0.98848
5501,0.227467,0.462159,-0.0625764,0.05925,0.056166,-0.0830247,-0.993188
5501,0.226017,0.463093,-0.0695815,0.0593781,0.0527546,-0.056565,-0.995225
5501,0.234026,0.464084,-0.0688457,0.0418962,0.0809329,-0.0670103,-0.993572
5501,0.173707,0.513876,-0.0991099,0.41646,0.329508,-0.0647948,0.844848
5501,0.107609,0.521759,-0.00060498,-0.512733,0.349604,0.287147,-0.729664
5501,0.0865607,0.502005,-0.114597,0.345607,0.638984,0.0362754,0.686236
5501,0.22314,0.463367,-0.0690552,0.0639811,0.0367783,-0.0662049,-0.995064
5501,0.218907,0.466273,-0.0780029,-0.0329981,0.0640582,-0.0520107,0.996034
5501,0.218351,0.461169,-0.0701626,0.0495454,0.074373,-0.11642,-0.989162
5501,0.182263,0.488671,-0.0353379,0.00656008,0.0221727,0.400331,-0.916068
5501,0.183124,0.473585,-0.111453,0.0783363,0.229295,0.146489,0.959067
5501,0.182397,0.509167,-0.0507734,-0.0658355,0.137539,-0.0614928,-0.986381
5501,0.233746,0.457405,-0.0699292,0.0818359,-0.0723875,0.30382,-0.946434
5502,0.219472,0.463531,-0.0675425,0.0734421,0.0447421,-0.0867429,-0.992502
5502,0.224665,0.46409,-0.0766062,-0.0322838,0.00151957,0.00389376,0.99946
5502,0.226308,0.460615,-0.0697051,0.055634,0.0412546,-0.0641591,-0.995524
5502,0.227113,0.458755,-0.0641104,0.0584853,0.0685838,-0.111621,-0.989645
5502,0.220638,0.462874,-0.0710808,0.0565229,0.0412163,-0.072237,-0.994922
5502,0.204166,0.47113,-0.0959937,0.0723918,0.134197,0.187649,0.970319
5502,0.204108,0.473293,-0.0946304,0.0943114,0.118457,0.229338,0.961487
5502,0.2156,0.48382,-0.0596233,-0.103249,0.11383,-0.149654,-0.976712
5502,0.22575,0.463729,-0.0736348,-0.0571173,0.0293217,-0.0413849,0.997069
5502,0.221575,0.463804,-0.0707244,0.0728964,0.0398041,-0.0591353,-0.994779
5502,0.215949,0.463967,-0.0721428,0.0467496,0.0426453,-0.091818,-0.993754
